spec,series,pins,positions,skuLink,light,size,imageId
2脚2档 黑色 KCD11 10x15mm（5个）,KCD11,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109683,无灯,15*10mm,4919743109683
圆型开关 开孔11.5MM 有档开关带线（自锁）红色（1个）,圆形,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109587,无灯,11.5mm,4919743109587
圆型开关 开孔11.5MM 有档开关带线（自锁）绿色（1个）,圆形,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109588,无灯,11.5mm,4919743109588
圆型开关 开孔11.5MM 无档开关带线（无锁）红色（1个）,圆形,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109589,无灯,11.5mm,4919743109589
圆型开关 开孔11.5MM 无档开关带线（无锁）绿色（1个）,圆形,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109590,无灯,11.5mm,4919743109590
圆型开关 开孔34.8*24.8MM 无档开关带线（1个）,圆形,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109591,无灯,11.5mm,4919743109591
船型圆型开关 开孔20MM 有档开关带线（1个）,圆形,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109702,无灯,20mm,4919743109702
全圆实心红色不带灯2档3脚 铜脚 （2个）,全圆,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109698,无灯,20mm,4919743109698
全圆 白色无灯 2档2脚 铜脚(2个）,全圆,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109716,无灯,20mm,4919743109716
全圆 黑色无灯 2档2脚 铜脚(2个）,全圆,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109700,无灯,20mm,4919743109700
全圆 黑色无灯 2档3脚 铜脚 (2个）,全圆,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109699,无灯,20mm,4919743109699
全圆 黑色无灯 3档3脚 铜脚(2个）,全圆,3,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109717,无灯,20mm,4919743109717
全圆 黑色无灯 2档6脚 铜脚（1个）,全圆,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109610,无灯,20mm,4919743109610
全圆 红色带灯 2档3脚 铜脚(2个）,全圆,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109718,带灯,20mm,4919743109718
全圆 绿色带灯 2档3脚 铜脚(2个）,全圆,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109719,带灯,20mm,4919743109719
全圆实心红色无灯 2档2脚 铜脚(2个）,全圆,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109701,无灯,20mm,4919743109701
全圆 透明白底盖实心红3档3脚(2个）,全圆,3,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109720,无灯,20mm,4919743109720
全圆 透明红盖无灯2档2脚 铜脚 （2个）,全圆,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109697,无灯,20mm,4919743109697
全圆 黑色无灯开孔22mm 3档6脚 铜脚（1个）,全圆,6,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109611,无灯,22mm,4919743109611
KCD6双联船型开关 红色无灯4脚2档（1个）,KCD6,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109577,无灯,31*25mm,4919743109577
KCD6双联船型开关 黑色 2档6脚（1个）,KCD6,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109572,无灯,31*25mm,4919743109572
红色带灯2档6脚（1个）,KCD6,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109573,带灯,31*25mm,4919743109573
KCD6双联船型开关 红绿色带灯 2档6脚（1个）,KCD6,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109574,带灯,31*25mm,4919743109574
KCD6双联船型开关 绿色带灯 2档6脚（1个）,KCD6,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109576,带灯,31*25mm,4919743109576
开孔15MM 全圆红色 2脚2档 无灯 铜脚 （2个）,全圆,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109696,无灯,15mm,4919743109696
开孔15MM 全圆黑色 2脚2档 无灯 铜脚 （2个）,全圆,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109695,无灯,15mm,4919743109695
PBS-33B 自复位按钮开关带线 红色（1个）,PBS-33B,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109595,无灯,12mm,4919743109595
PBS-33B 自复位按钮开关带线 黑色（1个）,PBS-33B,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109592,无灯,12mm,4919743109592
PBS-33B 自复位按钮开关带线 白色（1个）,PBS-33B,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109593,无灯,12mm,4919743109593
PBS-33B 自复位按钮开关带线 黄色（1个）,PBS-33B,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109594,无灯,12mm,4919743109594
PBS-33B 自复位按钮开关带线 绿色（1个）,PBS-33B,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109596,无灯,12mm,4919743109596
PBS-33B 自复位按钮开关带线 蓝色（1个）,PBS-33B,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109597,无灯,12mm,4919743109597
PBS-110自复位开关带线 白色（1个）,PBS-110,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109598,无灯,7mm,4919743109598
PBS-110自复位开关带线 绿色（1个）,PBS-110,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109599,无灯,7mm,4919743109599
PBS-110自复位开关带线 黑色（1个）,PBS-110,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109600,无灯,7mm,4919743109600
PBS-110自复位开关带线 黄色（1个）,PBS-110,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109601,无灯,7mm,4919743109601
PBS-110自复位开关带线 红色（1个）,PBS-110,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109602,无灯,7mm,4919743109602
KCD11 3脚2档黑色平弯针（5个）,KCD11,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4009091875813,无灯,21*15mm,4009091875813
3脚2档 红色 KCD11 10x15mm（5个）,KCD11,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109684,无灯,15*10mm,4919743109684
3脚2档 黑色 KCD11 10x15mm（5个）,KCD11,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109685,无灯,15*10mm,4919743109685
3脚3档 黑色 KCD11 10x15mm（5个）,KCD11,3,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109686,无灯,15*10mm,4919743109686
30A 3档6脚  黑色无灯紫铜脚 KCD4电焊机开关（1个）,KCD4,6,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109646,无灯,31*25mm,4919743109646
2档4脚 实心蓝无灯 KCD4电焊机开关（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109641,无灯,31*25mm,4919743109641
2档4脚 实心黄无灯 KCD4电焊机开关（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109642,无灯,31*25mm,4919743109642
2档6脚 黑色无灯 KCD4电焊机开关（1个）,KCD4,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109645,无灯,31*25mm,4919743109645
2档6脚 实心红无灯 KCD4电焊机开关（1个）,KCD4,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109644,无灯,31*25mm,4919743109644
绿色 上圆下方扁体 带灯3脚2档 铜脚(2个）,扁体,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109652,带灯,20mm,4919743109652
黑色 上圆下方扁体 无灯3脚3档 铜脚(2个）,扁体,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109648,无灯,20mm,4919743109648
黑色 上圆下方扁体 无灯4脚2档 铜脚（1个）,扁体,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109649,无灯,20mm,4919743109649
红色 上圆下方扁体 带灯3脚2档 铜脚(2个）,扁体,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109650,带灯,20mm,4919743109650
红色 上圆下方扁体 带灯4脚2档 铜脚（1个）,扁体,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109651,带灯,20mm,4919743109651
猫眼12V红光上圆下方3脚2档（1个）,猫眼,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109715,带灯,20mm,4919743109715
猫眼12V黄光上圆下方3脚2档 铜脚（1个）,猫眼,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109732,带灯,20mm,4919743109732
猫眼12V蓝光上圆下方3脚2档 铜脚（1个）,猫眼,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109733,带灯,20mm,4919743109733
猫眼12V绿光上圆下方3脚2档 铜脚（1个）,猫眼,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109734,带灯,20mm,4919743109734
30A开关T8555型4脚2档红灯 KCD4（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109605,带灯,31*25mm,4919743109605
30A开关 2档4脚 黄色带灯 KCD4（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109730,带灯,31*25mm,4919743109730
30A开关 2档4脚 绿色带灯 KCD4（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109705,带灯,31*25mm,4919743109705
30A开关 2档4脚 蓝色带灯 KCD4（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109706,带灯,31*25mm,4919743109706
30A开关 2档4脚 白底红色带灯 KCD4（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109707,带灯,31*25mm,4919743109707
30A开关 2档4脚 白底绿色带灯 KCD4（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109708,带灯,31*25mm,4919743109708
30A开关 2档6脚 红色带灯 KCD4（1个）,KCD4,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109731,带灯,31*25mm,4919743109731
30A开关 2档6脚 绿色带灯 KCD4（1个）,KCD4,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109583,带灯,31*25mm,4919743109583
30A 3档6脚 红色带灯铜脚 KCD4电焊机开关 （1个）,KCD4,6,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109647,带灯,31*25mm,4919743109647
KCD3船型开关 2档3脚 黑底红灯 4000W 双银叠 铜脚（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109627,带灯,31*13.5mm,4919743109627
KCD3船型开关 2档3脚 黑底红灯 3500W 银触点（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109626,带灯,31*13.5mm,4919743109626
KCD3船型开关 2档3脚 白底红灯 4000W 双银叠 铜脚（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109629,带灯,31*13.5mm,4919743109629
KCD3船型开关 2档3脚 黑底红灯 2500W 铜脚（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109625,带灯,31*13.5mm,4919743109625
KCD3船型开关 2档3脚 黑底红灯 800W 铜脚（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109622,带灯,31*13.5mm,4919743109622
KCD3船型开关 2档3脚 黑底红灯 1000W 铜脚（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109623,带灯,31*13.5mm,4919743109623
KCD3船型开关 2档3脚 黑底红灯 2200W 铜脚（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109624,带灯,31*13.5mm,4919743109624
KCD3船型开关 2档3脚 灰底白盖带灯 4000W 双银叠 铜脚（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109628,带灯,31*13.5mm,4919743109628
KCD3船型开关 两档3脚 黑色红灯（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109617,带灯,31*13.5mm,4919743109617
KCD3船型开关 两档3脚 黑色绿灯（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109620,带灯,31*13.5mm,4919743109620
KCD3船型开关 两档3脚 白色红灯（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109618,带灯,31*13.5mm,4919743109618
KCD3船型开关 两档3脚 黑色不带灯（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109619,无灯,31*13.5mm,4919743109619
KCD3船型开关 两档3脚 黑底红灯（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109616,带灯,31*13.5mm,4919743109616
KCD3船型开关 两档3脚 黑底绿灯（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109615,带灯,31*13.5mm,4919743109615
KCD3船型开关 2档2脚黑色无灯(2个）,KCD3,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109678,无灯,31*13.5mm,4919743109678
KCD3船型开关 3档3脚黑色无灯 （1个）,KCD3,3,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109679,无灯,31*13.5mm,4919743109679
KCD3船型开关2档3脚 黑底红灯 1500W 铜脚（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109630,带灯,31*13.5mm,4919743109630
3500W船型开关KCD3  2挡3脚黑底带红灯 铜脚（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109680,带灯,31*13.5mm,4919743109680
40A 2档4脚 黑色无灯 KCD4电焊机开关（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109640,无灯,31*25mm,4919743109640
40A 2档4脚 红色带灯 KCD4电焊机开关（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109631,带灯,31*25mm,4919743109631
40A 2档4脚 绿色带灯 KCD4电焊机开关（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109632,带灯,31*25mm,4919743109632
40A 2档4脚 蓝色带灯 KCD4电焊机开关（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109633,带灯,31*25mm,4919743109633
40A 2档4脚 黄色带灯 KCD4电焊机开关（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109634,带灯,31*25mm,4919743109634
40A 2档4脚 白底红色带灯 KCD4电焊机开关（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109635,带灯,31*25mm,4919743109635
40A 2档4脚 白底绿色带灯 KCD4电焊机开关（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109636,带灯,31*25mm,4919743109636
40A 2档6脚 红色带灯 KCD4电焊机开关（1个）,KCD4,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109637,带灯,31*25mm,4919743109637
40A 2档6脚 绿色带灯 KCD4电焊机开关（1个）,KCD4,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109638,带灯,31*25mm,4919743109638
40A 2档4脚 实红心无灯 KCD4电焊机开关（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109639,无灯,31*25mm,4919743109639
40A 2档4脚 实心绿无灯 KCD4电焊机开关（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109643,无灯,31*25mm,4919743109643
220V猫眼KCD3船型开关 2档3脚 红灯（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109621,带灯,31*13.5mm,4919743109621
220V猫眼KCD3船型开关 2档3脚 黄灯（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109612,带灯,31*13.5mm,4919743109612
220V猫眼KCD3船型开关 2档3脚 蓝灯（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109614,带灯,31*13.5mm,4919743109614
220V猫眼KCD3船型开关 2档3脚 绿灯（1个）,KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109613,带灯,31*13.5mm,4919743109613
KCD11 2脚2档左脚弯针 黑色 3A 250V（2个）,KCD11,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109727,无灯,15*10mm,4919743109727
KCD11 3脚2档弯针 红色 3A 250V（2个）,KCD11,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109728,无灯,15*10mm,4919743109728
KCD11 3脚2档弯针 黑色 3A 250V（2个）,KCD11,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109729,无灯,15*10mm,4919743109729
KCD1-104  红色带灯21*15mm(2个）,KCD1,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109604,带灯,21*15mm,4919743109604
KCD4白底红色带灯 2档4脚 铜脚 16A 250V（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109711,带灯,31*25mm,4919743109711
KCD4白底绿色带灯 2档4脚 铜脚 16A 250V（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109712,带灯,31*25mm,4919743109712
KCD4黑底实心红色无灯2档4脚铜脚 16A 250V（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109713,无灯,31*25mm,4919743109713
KCD4黑底实心红色无灯2档6脚铜脚 16A 250V（1个）,KCD4,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109584,无灯,31*25mm,4919743109584
KCD4黑底实心红色无灯 3档6脚 铜脚 16A 250V（1个）,KCD4,6,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109714,无灯,31*25mm,4919743109714
KCD4黑色打字前进停止后退 3档6脚铜脚 16A 250V（1个）,KCD4,6,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109585,带灯,31*25mm,4919743109585
30A 大电流KCD4黄色 无灯 4脚2档（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109606,无灯,31*25mm,4919743109606
30A 大电流KCD4蓝色 无灯 4脚2档（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109607,无灯,31*25mm,4919743109607
30A 大电流KCD4黑色 无灯 4脚2档（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109608,无灯,31*25mm,4919743109608
30A 大电流KCD4红色 无灯 4脚2档（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109609,无灯,31*25mm,4919743109609
KCD5船型开关 红色带灯 4脚2档 铜脚(1个),KCD5,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109578,带灯,24*21mm,4919743109578
KCD5船型开关 绿色带灯 4脚2档 铜脚(1个),KCD5,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109579,带灯,24*21mm,4919743109579
